index,title,artist,songwriter,composer,url,preview
く,くしゃみ -たまり場 パート2-,SURFACE,椎名慶治,永谷喬夫,https://j-lyric.net/artist/a001cca/l00ef4e.html,モチベは下がりっぱ　不安は山積み　散々過ぎる僕のライフ ...
く,くちびるに歌を乗せて,馬渕太成,馬渕太成,馬渕太成,https://j-lyric.net/artist/a056ef8/l063b92.html,Boy　しょげるなよBoy　予想外のこの運命にsm ...
く,くちびるの奥の宇宙,中島愛,中島愛,坂東邑真,https://j-lyric.net/artist/a04f925/l065447.html,ひとり閉ざした　くちびるには見えない　宇宙を　隠し ...
く,くにぶん木の花,BEGIN,BEGIN,BEGIN,https://j-lyric.net/artist/a000775/l00c7ae.html,くにぶんぬ花が 白い花が咲いたよ変わる四季(し ...
く,くもりのち雨ときどき晴レ,小山文彦,小山文彦,小山文彦,https://j-lyric.net/artist/a062a80/l063e51.html,くもりのち雨　ときどき晴れ　ゆううつな空に　光がひとす ...
く,くるりんMIRACLE,星空凛(飯田里穂),畑亜貴,森慎太郎,https://j-lyric.net/artist/a0564a1/l04f1f4.html,新しい自分で踊れそうくるりん! まわって飛びだせば ...
く,くれなゐ月見酒,悠木碧,高瀬愛虹,角本麻衣,https://j-lyric.net/artist/a056374/l04c297.html,―――舞い踊る花吹雪―――呑めば酔い酔い　夢心地 ...
く,くん兄さんVSアン姉さん,グループ魂,宮藤官九郎,三宅弘城,https://j-lyric.net/artist/a0018eb/l00eedd.html,干上がってる 干上がってる カラカラに半月…い ...
く,くノ一mix NO.1,ヒメジ(吉田真弓),渡邉美佳,山口朗彦,https://j-lyric.net/artist/a04cd2d/l00a11c.html,派手に ガチに 世(よ)つ討(う)ちまくれ耳を ふ ...
く,くいしんぼ天国,岸谷香,奥居香,奥居香,https://j-lyric.net/artist/a002020/l008fbe.html,「おいしいね」って言葉は幸せ運んでくるどんなキツい ...
く,来,ICARUS,ICARUS,Shun,https://j-lyric.net/artist/a066761/l060e62.html,明日を迎えに来た I'm doin' my best ...
く,クアーフの海,来栖りん,Junxix.,Junxix.,https://j-lyric.net/artist/a06519b/l05e280.html,永遠に　果てしない　白と青の中で水面に　映らない　 ...
く,くい,赤い公園,津野米咲,津野米咲,https://j-lyric.net/artist/a05607a/l02deb2.html,お天気に文句を言って雨粒を避けてまだまだ贅沢し ...
く,クイーンオブハート,奏音69 feat.巡音ルカ,奏音69,奏音69,https://j-lyric.net/artist/a05bc53/l03c414.html,Welcome to the Wonderland...
く,クイーンオブハート,足首,奏音69,奏音69,https://j-lyric.net/artist/a05bdd8/l03c9c8.html,Welcome to the Wonderland こ ...
く,クイーンオブハート,この子,奏音69,奏音69,https://j-lyric.net/artist/a05f87b/l04a72f.html,Welcome to the Wonderland...
く,クイーンオブハート,Royal Scandal,奏音69,奏音69,https://j-lyric.net/artist/a060d24/l04ee9d.html,“Welcome to the Wonderland” ...
く,クイーンオブハート,岡本信彦,奏音69,奏音69,https://j-lyric.net/artist/a0565f5/l058fff.html,“Welcome to the Wonderland” ...
く,"“Queen Of Hype"" Blues",山下達郎,山下達郎,山下達郎,https://j-lyric.net/artist/a0022c2/l005588.html,心優し 悩める若者たちの 愛と夢を孤独のレンジにか ...
く,クイカイマニマニ,原田郁子,不詳,不詳,https://j-lyric.net/artist/a0106cb/l0314bc.html,クイカイマニマニマニマニ ダスキー クイカイコー クイ ...
く,くいしんぼうのカレンダー,やまがたすみこ,仲倉重郎,中田喜直,https://j-lyric.net/artist/a00296a/l01524c.html,むつき はねつき つばきもちうめの花さく うぐいす ...
く,くいしんぼうのパピポ,奈々瀬ひとみ,田山雅充,田山雅充,https://j-lyric.net/artist/a065c76/l05e8a0.html,はじめまして　ぼくはパピポゆうべやってきました...
く,くいしんぼおばけ,おかあさんといっしょ,村田さち子,福田和禾子,https://j-lyric.net/artist/a065c7e/l0608e7.html,くいしんぼうの　おばけの　こよなかに　こっそり　で ...
く,クイズ,財津和夫,財津和夫,財津和夫,https://j-lyric.net/artist/a00063a/l01c739.html,神様から出されたクイズその答えを解いてみたいんだ ...
く,クイズ!恋するキンコンカン!,DISH//,小倉しんこう,小倉しんこう,https://j-lyric.net/artist/a057b1b/l038251.html,さあ始まりました!『クイズ!恋するキンコンカン』お ...
く,クイズの女王,SMAP,小西康陽,小西康陽,https://j-lyric.net/artist/a002907/l004771.html,どうしてオンナのひとはいつだっていつだってボクに ...
く,クイックサンド,中ノ森BAND,中ノ森文子,HARRY,https://j-lyric.net/artist/a01aed6/l0112c1.html,どうしてあたし素直になれないの?すぐにむくれたり  ...
く,クイック・マダム,EGO-WRAPPIN,中納,中納良恵・森雅樹,https://j-lyric.net/artist/a0005d8/l00e1de.html,スローインでまわる車輪の花　夜が流れるクイック ...
く,杭と者,Eenai;,さっちん,さっちん,https://j-lyric.net/artist/a0623c7/l053224.html,遮れない光に包まれた鈍く煌めく僕は見付からない...
く,悔いなき希望,鶴丸国永・大倶利伽羅・伊達政宗・支倉常長,浅井さやか(One,YOSHIZUMI,https://j-lyric.net/artist/a065684/l05d6a1.html,青き空碧き海碧海に溶け青天に繋がる空も ...
く,クイニーアマンダ,Sou,煮ル果実,煮ル果実,https://j-lyric.net/artist/a04b23d/l051703.html,相も変わらず信じちゃいないね誰も彼も寄生虫みたいで ...
く,クインティプル☆すまいる,香澄×蘭×彩×友希那×こころ,織田あすか(Elements,藤田淳平(Elements,https://j-lyric.net/artist/a05e4a5/l046275.html,lalalalala～P色とりどりの音　聞こえ ...
く,クインティプル☆すまいる,香澄(愛美)/蘭(佐倉綾音)/彩(前島亜美)/友希那(相羽あいな)/こころ(伊藤美来),織田あすか(Elements,藤田淳平(Elements,https://j-lyric.net/artist/a05eeaf/l048816.html,(lalalalala~♪)色とりどりの音 聞 ...
く,クインテット,BLUE ENCOUNT,田邊駿一,田邊駿一,https://j-lyric.net/artist/a0587d4/l06375b.html,気鋭　苦渋　喉に備え付け狙い放つ一世の舞台の上...
