index,title,artist,songwriter,composer,url,preview
う,うぇるかむUNKNOWN,平野綾,畑亜貴,鈴木盛広,https://j-lyric.net/artist/a04cce9/l00a295.html,UN-KNOWN うぇるかむ UNKNOWN来い来 ...
う,うきうきぱんだ meets fox capture plan,いきものがかり,水野良樹,水野良樹,https://j-lyric.net/artist/a04c814/l0646bd.html,御：機嫌うるわしゅうて御：日柄もよく御：巫山戯 ...
う,うごかせ!ロボメカ男 feat.KIRINJI,蓮沼執太,柴田大平,蓮沼執太,https://j-lyric.net/artist/a058691/l0651c2.html,メカ男メカ男うごかせ　メカ男ロボメカ男...
う,うしろ向きのスキップ,井上喜久子,井上喜久子,井上喜久子,https://j-lyric.net/artist/a000f0b/l020039.html,ねえ目を閉じて　深呼吸して想い浮かべて白いさば ...
う,うす紅桜,大月みやこ,田久保真見,徳久広司,https://j-lyric.net/artist/a0005f1/l063cb7.html,ふわりと指を　すり抜けるのね舞い散る花と　しあわせ ...
う,うそつきレノン〈album version〉,サンタラ,田村キョウコ/砂田和俊,田村キョウコ/砂田和俊,https://j-lyric.net/artist/a00d05b/l00e6e7.html,何より私が君のことを気に入ったのは不釣合いな程 ...
う,うそ鳴き,心世紀,ぽん,HIDEYA,https://j-lyric.net/artist/a06752a/l06426d.html,夜明けがきらいだインターネットの隅今日もただ愛 ...
う,うちあげ花火,パスピエ,大胡田なつき,成田ハネダ,https://j-lyric.net/artist/a055cff/l033b3e.html,ねえねえ、教えて 8月3日の天気教えて 知りたいの...
う,うつくしい世界,Aimer,aimerrhythm,柴山太朗,https://j-lyric.net/artist/a05570f/l063418.html,優しい雨が差した羽広げたこの心を星の瞬きへと ...
う,うつぼかずら feat.ゴスペラーズ,Fairlife,春嵐,浜田省吾,https://j-lyric.net/artist/a00abbf/l00e2c5.html,八百万の神が目覚める 囁く 微笑む手招く  ...
う,うまく言えずにごめんね,東方神起,Daiki,Daiki,https://j-lyric.net/artist/a005118/l06288b.html,こんなに長い夜も明けてくいつも通りどんなに長い ...
う,うまぴょい伝説,スペシャルウィーク、サイレンススズカ、ゴールドシップ、ウオッカ、ダイワスカーレット、メジロマックイーン、ナリタブライアン、マヤノトップガン、ライスシャワー、ウイニングチケット、スマートファルコン、ダイタクヘリオス、サクラローレル、ヤマニンゼ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a064707/l05a775.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説,ビワハヤヒデ(近藤唯)、エアシャカール(津田美波)、ナリタタイシン(渡部恵子)、フリオーソ(西連寺亜希)、トランセンド(塚田悠衣)、エスポワールシチー(亜咲花)、シンボリクリスエス(春川芽生)、タニノギムレット(松岡美里),本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a0673b4/l062fc2.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説,ゴールドシップ、ナカヤマフェスタ、ミスターシービー、デアリングタクト、ラインクラフト、デアリングハート、フサイチパンドラ、オルフェーヴル、ドリームジャーニー、フェノーメノ、ブラストワンピース、アーモンドアイ、ラッキーライラック、グランアレグ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a067798/l063c2f.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説,オグリキャップ、エルコンドルパサー、ナリタブライアン、シンボリルドルフ、ミホノブルボン、ライスシャワー、シーキングザパール、スマートファルコン、ナカヤマフェスタ、ミスターシービー、キタサンブラック、シリウスシンボリ、ノースフライト、メジロラ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a06799f/l0642fa.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説,オグリキャップ、ゴールドシップ、メジロマックイーン、セイウンスカイ、タマモクロス、ビワハヤヒデ、マヤノトップガン、カレンチャン、シーキングザパール、マチカネフクキタル、ヒシミラクル、ブラストワンピース、アーモンドアイ、ラッキーライラック、グ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a067c92/l064b41.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説,アグネスデジタル、タマモクロス、メジロライアン、アイネスフウジン、ゴールドシチー、サクラチヨノオー、デアリングタクト、メジロラモーヌ、ヴィブロス、スティルインラブ、ブエナビスタ、ジェンティルドンナ、アーモンドアイ、グランアレグリア、ラヴズオ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a067ef7/l065234.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説 (Game Size),ゴールドシップ、ナカヤマフェスタ、ミスターシービー、デアリングタクト、ラインクラフト、デアリングハート、フサイチパンドラ、オルフェーヴル、ドリームジャーニー、フェノーメノ、ブラストワンピース、アーモンドアイ、ラッキーライラック、グランアレグ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a067798/l063c30.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説 (Game Size),オグリキャップ、エルコンドルパサー、ナリタブライアン、シンボリルドルフ、ミホノブルボン、ライスシャワー、シーキングザパール、スマートファルコン、ナカヤマフェスタ、ミスターシービー、キタサンブラック、シリウスシンボリ、ノースフライト、メジロラ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a06799f/l0642fb.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説 (Game Size),オグリキャップ、ゴールドシップ、メジロマックイーン、セイウンスカイ、タマモクロス、ビワハヤヒデ、マヤノトップガン、カレンチャン、シーキングザパール、マチカネフクキタル、ヒシミラクル、ブラストワンピース、アーモンドアイ、ラッキーライラック、グ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a067c92/l064b42.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説(Game Size),ビワハヤヒデ(近藤唯)、エアシャカール(津田美波)、ナリタタイシン(渡部恵子)、フリオーソ(西連寺亜希)、トランセンド(塚田悠衣)、エスポワールシチー(亜咲花)、シンボリクリスエス(春川芽生)、タニノギムレット(松岡美里),本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a0673b4/l062fc3.html,うーーーー(うまだっち)うーーー(うまぴょい　うま ...
う,うまぴょい伝説(Game Size),アグネスデジタル、タマモクロス、メジロライアン、アイネスフウジン、ゴールドシチー、サクラチヨノオー、デアリングタクト、メジロラモーヌ、ヴィブロス、スティルインラブ、ブエナビスタ、ジェンティルドンナ、アーモンドアイ、グランアレグリア、ラヴズオ,本田晃弘(Cygames),本田晃弘(Cygames),https://j-lyric.net/artist/a067ef7/l065235.html,うーーーー(うまだっち)うーーー(うまぴょい うま ...
