index,title,artist,songwriter,composer,url,preview
か,かおりの夢は夜ひらく,香西かおり,市川睦月,曽根幸明,https://j-lyric.net/artist/a000011/l023acc.html,右へ曲がれという道を左へ曲がってなぜ悪い開 ...
か,かかえきれない花束を,イヤホンズ,あさのますみ,月蝕會議,https://j-lyric.net/artist/a05e257/l065943.html,ねえ　今なにがしたい？　どんな瞬間がしあわせ？誰か ...
か,かがやきの虜,蒼山幸子,蒼山幸子,蒼山幸子,https://j-lyric.net/artist/a0546c1/l06442c.html,忘れないで今もわたしにはあなたが天使仄暗いムー ...
か,かぎりなき夏(2024 Mix),滝沢洋一,阿里そのみ,滝沢洋一,https://j-lyric.net/artist/a04ed6e/l0632b1.html,誰もいない海に　ひとり潮風の中　遠去かる夏の日 ...
か,かくれキリシタンゴ ～Believe～ feat. MC母上,レキシ,池田貴史・Mummy-D(RHYMESTER),池田貴史,https://j-lyric.net/artist/a04cfdf/l046f24.html,I believeこれは恋ではなくてほとんど宗 ...
か,かけがえの無いゴミ箱の詩,ラムジ,山下祐樹,SJR,https://j-lyric.net/artist/a04d3a8/l00c309.html,静まる夜道ため息で　コンビニが柔らかく蛍光唯一の明 ...
か,かけひきのジャッヂメント,SUPER BUTTER DOG,永積崇・池田貴史,永積崇・竹内朋康,https://j-lyric.net/artist/a004a59/l00e918.html,あっけなくも　バレちまったスローカーブかけひき ...
か,かけら,ビリケン,ビリーみやの/オクダケン,ビリーみやの,https://j-lyric.net/artist/a019e2a/l00c426.html,冷たい風が 頬をかすむお揃のマフラー 並んで付 ...
か,かげろうFor MY ALIZE,DS 455,戸田慶三郎,稲田浩,https://j-lyric.net/artist/a00276a/l014c6c.html,気怠い昼下がり暑い最中に車乗り更に汗ばむ背中に ...
か,かごめかごめ (TV edit.),オーイシマサヨシ,大石昌良,大石昌良,https://j-lyric.net/artist/a05919e/l065762.html,曖昧な境界で　笑って泣いて手を繋いだ言いたいことも ...
か,かざぐるまII,千子村正,浅井さやか(One,YOSHIZUMI,https://j-lyric.net/artist/a05d7a4/l05194a.html,風は季節を巡らせる春を目覚めさせ　夏を呼び秋に ...
か,かたつむり～おじゃる丸シスターズ・バージョン～,おじゃる丸シスターズ,秋元康,青野ゆかり,https://j-lyric.net/artist/a0552b4/l02504b.html,あの雲はかたつむりのろのろと空を歩く急いだって ...
か,"かっこつけてんじゃNIGHT feat,CORN HEAD",NUDYLINE,NUDYLINE・CORN,DJYUTAKA,https://j-lyric.net/artist/a04e06b/l00dfc2.html,かっこつけてるひまなんてない TONIGHTガムシ ...
か,かっぱの唄<黄桜>,楠トシエ,田中正史,田中正史,https://j-lyric.net/artist/a04f130/l013916.html,かっぱっぱ ルンパッパかっぱ黄桜 かっぱっぱボ ...
か,かなしい唇,ちあきなおみ,丹古晴己,鈴木淳,https://j-lyric.net/artist/a002502/l020a08.html,今夜もかわくの　悲しい唇あなたを忘れぬ　悲しい唇 ...
か,かまたんが来る♪,寺嶋由芙,望月義方,望月義方,https://j-lyric.net/artist/a05a033/l064490.html,かまたんが来る～　野菜も持ってくる(梨もね！)かま ...
か,"かよわきエナジー～Take Me Home, Country Roads",GOING UNDER GROUND,松本素生,松本素生,https://j-lyric.net/artist/a0006e1/l00a4f7.html,なれない街で花を飾ろう君によく似た花を飾ろう特 ...
か,からくり歌舞伎 万華鏡,中西りえ,水木れいじ,浜圭介,https://j-lyric.net/artist/a057434/l064868.html,社(やしろ)の奥の　細道出たら火の見櫓が　見えてく ...
か,からっぽの砂時計,織田裕二,工藤哲雄,都志見隆,https://j-lyric.net/artist/a001210/l02072d.html,真夜中過ぎたらかけひき　孤独になれない lonely  ...
か,かるガルEveryday!!,花冷え。,ユキナ・マツリ,マツリ・ユキナ,https://j-lyric.net/artist/a06441d/l0653e8.html,フレフレー！ゴーゴー！フレフレー！ゴーゴー！フ ...
か,かわいい顔の小悪魔です,可憐なアイボリー,shito・中西,shito・中西,https://j-lyric.net/artist/a067234/l0648ac.html,大変です！恋の呪いです！かわいい顔して強力です ...
か,かわるがわる感情に飲まれても,湯木慧,湯木慧,湯木慧,https://j-lyric.net/artist/a05c5bc/l0645dc.html,あの人の考えは的が外れて当てにならない私のこの思い ...
か,蚊,ブリーフ&トランクス,伊藤多賀之,伊藤多賀之,https://j-lyric.net/artist/a002740/l052007.html,蚊　蚊　蚊…毎年同じ所を　蚊に刺される気づ ...
か,かあかあカラスの勘三郎,鈴木梨央,松宮恭子,松宮恭子,https://j-lyric.net/artist/a0577df/l03d001.html,かあかあカラスの勘三郎東京は神田に住んでいるお ...
か,かーこ,Kiroro,玉城,玉城,https://j-lyric.net/artist/a000500/l00fc9e.html,願い事を心に　想いながらタンポポを一息で　全部吹き ...
か,かあさん,中村美律子,高田直和,富田梓仁,https://j-lyric.net/artist/a0004c4/l004eca.html,おさない日に おぶってくれたかあさんを この手でい ...
か,まんが日本昔ばなし～かあさん～,TV・アニメ主題歌,川内康範,川内康範,https://j-lyric.net/artist/a04bc64/l011b40.html,母さんいついつまでもきれいでいてね世界でいちば ...
か,母さん,ミドリカワ書房,緑川伸一,緑川伸一,https://j-lyric.net/artist/a04cb91/l009cbf.html,母さん あなたは僕を今でも本当に愛してくれていますか ...
か,母さん,カタソビ,イトウアイラ,ナガセフミナ,https://j-lyric.net/artist/a06248a/l0563a7.html,母さんお手製の体操袋蹴り回して遊んでたクラスメイト ...
か,母さん有難う,大関修右,孤童,孤童,https://j-lyric.net/artist/a060eec/l04f236.html,人生は年を重ねるそのたびに　世の中の流れを知っていく ...
か,かあさんへ,吉幾三,吉幾三,吉幾三,https://j-lyric.net/artist/a000457/l0109af.html,あなたの背中で…　かあさんあなたの腕で…　かあさん ...
か,かあさんへ,川中美幸,井上輝彦,三木たかし,https://j-lyric.net/artist/a000545/l04db61.html,愛を求めて　故郷をすてたのに季節を伝える　あなたで ...
か,かあさんへ,福田こうへい,吉幾三,吉幾三,https://j-lyric.net/artist/a056df7/l052812.html,あなたの背中で…　かあさん　あなたの腕で…　かあさん ...
か,かあさんへ,黒川真一朗,吉幾三,吉幾三,https://j-lyric.net/artist/a01f0f6/l0613eb.html,あなたの背中で…かあさんあなたの腕で…かあさん...
か,かあさんおはよう,大杉久美子,高畑,坂田晃一,https://j-lyric.net/artist/a001b30/l011b69.html,朝ぼくを　おこしたおひさまがほら　もう　ま上い ...
か,母さんギター,美空ひばり,西沢爽,船村徹,https://j-lyric.net/artist/a000977/l047320.html,娘ざかりを お前だけ苦労させると 泣いた母...
か,母さんごめんネ,堀江美都子,保富康午,藤家,https://j-lyric.net/artist/a0011ee/l00894e.html,かあさんなんか きらいっていっちゃったなぜだか ...
か,母さんと私,沖ちづる,沖ちづる,沖ちづる,https://j-lyric.net/artist/a05a173/l03709d.html,母さん 私並んで歩いたけどいつか縦に並びい ...
か,母さんの赤い糸,藍ようこ,万城たかし,宮下健治,https://j-lyric.net/artist/a05d4e7/l042a9e.html,小雨そぼふる　田舎の駅でわたし置き去り　あなたは消 ...
か,母さんの秋,尾鷲義仁,篠原代昭・志賀大介,富田梓仁,https://j-lyric.net/artist/a04e52e/l00ef8a.html,俺らが大きく なったのか母が小さく なったのか...
か,かあさんのうた,比嘉栄昇,窪田聡,窪田聡,https://j-lyric.net/artist/a005e0e/l032f15.html,かあさんは夜なべをして手袋あんでくれた木枯らし ...
か,かあさんの歌,童謡・唱歌,窪田,窪田,https://j-lyric.net/artist/a00126c/l013295.html,かあさんが夜なべをして手袋あんでくれた木枯 ...
か,かあさんの歌,ペギー葉山,窪田聡,窪田聡,https://j-lyric.net/artist/a000529/l02295d.html,かあさんが夜(よ)なべをして手袋編(てぶくろあ)ん ...
か,かあさんの歌,サエラ,窪田聡,窪田聡,https://j-lyric.net/artist/a0546ff/l022c6b.html,かあさんは夜なべをして手袋あんでくれた木枯しふ ...
か,かあさんの歌,SUPER MUSIC BROTHERS,窪田聡,窪田聡,https://j-lyric.net/artist/a059257/l032ada.html,かあさんは夜なべをして手袋あんでくれた木枯しふ ...
か,かあさんの歌,シュガーシスターズ,窪田聡,窪田聡,https://j-lyric.net/artist/a05d4cf/l042a24.html,かあさんは　夜なべをして手ぶくろ　編(あ)んでくれ ...
か,かあさんの歌,菅原洋一,窪田聡,窪田聡,https://j-lyric.net/artist/a000b0c/l045cf6.html,かあさんは　夜なべをして手袋　あんでくれた木枯 ...
か,かあさんの歌,川中美幸,窪田聡,窪田聡,https://j-lyric.net/artist/a000545/l04db60.html,かあさんは夜なべをして手袋あんでくれた木枯らし ...
か,かあさんの歌,林部智史,窪田聡,窪田聡,https://j-lyric.net/artist/a05b0ca/l04e677.html,かあさんが夜なべをして手袋編んでくれた木枯らし ...
か,かあさんの歌,木山裕策,窪田聡,窪田聡,https://j-lyric.net/artist/a04d6ce/l053109.html,かあさんが　夜なべをして手袋　あんでくれた木枯 ...
か,かあさんの歌,三山ひろし,窪田聡,窪田聡,https://j-lyric.net/artist/a050bdd/l056f79.html,かあさんが　夜なべをして手ぶくろ　編(あ)んでくれ ...
か,かあさんの詩,三山ひろし,宮下康仁,中村典正,https://j-lyric.net/artist/a050bdd/l02d6ec.html,雨降る夜は　かあさんのダイコンの味噌汁が飲みたいよ ...
か,かあさんの下駄,中村ブン,中村,中村,https://j-lyric.net/artist/a04b974/l017fe0.html,世界中で一番きらいなものはかあさんの怒った顔世 ...
