title,url,artist,songwriter,composer,preview
きいていて (feat.の子&スカート),https://j-lyric.net/artist/a008fa0/l062b70.html,川本真琴,川本真琴,川本真琴,悲しみと苦しさと消えない思い出につぶされそうで...
きずなfeat.MEGARYU,https://j-lyric.net/artist/a013b31/l00aa5d.html,PANG,PANG・MEGARYU,PANG・MEGARYU,繋がって 深まって 力になって…ゆっくりと帰っ ...
きずなの唄,https://j-lyric.net/artist/a067808/l063dbe.html,清(小林由美子),baker,baker,優しき声を温もりを何時の時でも胸にしまって...
きっとStep by Step,https://j-lyric.net/artist/a0628e4/l062a25.html,エミリア(高橋李依)、レム(水瀬いのり)、ラム(村川梨衣),篠崎あやと・橘亮祐,篠崎あやと・橘亮祐,きっとStep by step　迷いながらきっとD ...
きっと上手くいくよ,https://j-lyric.net/artist/a063164/l062769.html,森大翔,森大翔,森大翔,I know　分かってるよ頭ではね　でもふとした隙 ...
きっと大丈夫,https://j-lyric.net/artist/a04e02a/l02d121.html,Paix2,片山創,片山創,青空を見上げてごらん浮き雲くじらが笑っているよ...
きっと宇宙の片隅で,https://j-lyric.net/artist/a04faa7/l02c648.html,Daisy×Daisy,亜沙,亜沙,月の海は今日も灰雪 嗚呼、眠り姫みたいねこのまま私 ...
きっと微笑むから,https://j-lyric.net/artist/a0023d3/l022f98.html,yozuca*,江幡育子,原田勝通,何処へ行くの、あの日 ふたりゆれる想い　無情すぎる ...
きみが好きです,https://j-lyric.net/artist/a000655/l06272e.html,スガシカオ,スガシカオ,スガシカオ,言わなきゃよかった　あんなこと言わなきゃよかった　 ...
きみが死んでゆうれいになったら,https://j-lyric.net/artist/a0680f5/l0657b6.html,琳子,琳子,琳子,いきなり怖がらせてごめんね自分でもよくわからないん ...
きみの一等星,https://j-lyric.net/artist/a067550/l063514.html,レトラ,nyamura,nyamura・KAIRUI,眠い目擦って夢から醒めたら昨日までの自分にちょっと ...
きみの友だち(You've Got A Friend) feat.大澤誉志幸&大友康平,https://j-lyric.net/artist/a001836/l0113b2.html,山下久美子,KING,KING,When you're down and troubl ...
きみの惑星,https://j-lyric.net/artist/a067020/l0650cd.html,NOMELON NOLEMON,みきまりあ,ツミキ,いつかまたきっと出会えるねただ遠くをみつめていた ...
きみの笑顔 きみの涙,https://j-lyric.net/artist/a00071b/l00a356.html,松たか子,松たか子,松たか子,きみにどんな 明日が来る?澄みきった瞳 輝かせて ...
きみは幽霊,https://j-lyric.net/artist/a067855/l063ebb.html,TenTwenty,斎藤宏介,斎藤宏介・須藤優,Gimme gimme loveGimme gim ...
きゅきゅきゅん ハートシェイカー,https://j-lyric.net/artist/a05b804/l053dd2.html,クリティクリスタ(ロージア(日高里菜)/ツキノ(茅野愛衣)/ホルミー(五十嵐裕美)/ジャクリン(村川梨衣)),藤原燈太,藤原燈太,[いっくよー!][せーのっ!][Hi!Hi ...
きょうしゅう,https://j-lyric.net/artist/a04ca8c/l00c54a.html,FAR EAST RHYMERS,Shunya/TWO-K/DJ,Shunya/TWO-K/DJ,生まれた時に僕は裸で 泣きじゃくるしかなくて涙 ...
きょうはめでタイ,https://j-lyric.net/artist/a04c7de/l00c46c.html,HEAVEN,河村欣也,河村欣也,鯛タイたい!(タイタイタイ!)鯛タイたい!(タ ...
きらいな人,https://j-lyric.net/artist/a056ce0/l02a5a3.html,石風呂,石風呂,石風呂,頭は鳥の糞だらけで肩には小さな虫がとまっている...
きらきら武士 feat.Deyonna,https://j-lyric.net/artist/a04cfdf/l02ef3c.html,レキシ,池田貴史,池田貴史,あなたは武士 きらきら武士きらきら武士 武士 武士 ...
きらめきのうた(つむぎ Ver.),https://j-lyric.net/artist/a067913/l065ac6.html,つむぎ(久保ユリカ),amira,"田子剛・井本光紀(bransic,inc)",言葉の欠片両手広げて集め優しさになった...
きらめきのうた(シークレットフレンズ∞ Ver.),https://j-lyric.net/artist/a067439/l065acb.html,シークレットフレンズ∞,amira,"田子剛・井本光紀(bransic,inc)",言葉の欠片両手広げて集め優しさになった...
きらりん☆JUMP feat. 茉ひる,https://j-lyric.net/artist/a063e1c/l064f3e.html,NARROWORLD,OHTORA・茉ひる,OHTORA・茉ひる・maeshima,今日も迷い中表情は練習中部屋に散らばる3Dカー ...
木,https://j-lyric.net/artist/a05607a/l032f00.html,赤い公園,津野米咲,津野米咲,甘いと思い込めばゆけると企て有名だ　病は木から ...
木,https://j-lyric.net/artist/a006b67/l048809.html,真心ブラザーズ,YO-KING,YO-KING,木がそこにある 木がそこにあるいつもぼくのそばに  ...
樹,https://j-lyric.net/artist/a000033/l008a7e.html,天童よしみ,松井五郎,平尾昌晃,はじめは誰も 脆い種芽が出るまでは 知る人もない ...
樹,https://j-lyric.net/artist/a0575cc/l03dbea.html,蒼彦太,久仁京介,宮下健治,樹木はおのれの あるがまま裸をさらし 生きている ...
樹,https://j-lyric.net/artist/a04beb2/l048051.html,松原健之,松井五郎,平尾昌晃,はじめは誰も　脆い種芽が出るまでは　知る人もない ...
気,https://j-lyric.net/artist/a001eb6/l008a1c.html,ガッツ石松,石井,櫻田誠一,一寸先は 闇の現代に勇気は頭じゃ頭じゃ 生れない ...
喜哀,https://j-lyric.net/artist/a05fa38/l05e53a.html,OMSB,OMSB,Olive,U know my steez？　30半ばでまだクソガ ...
気合い一発キメちゃえ乙女!,https://j-lyric.net/artist/a04d5f6/l013841.html,五條真由美,大森,浅田,可愛いだけじゃつかまんないの　恋も夢も全部フリルの ...
気合いだ feat. RED RICE(from 湘南乃風),https://j-lyric.net/artist/a04a8c5/l026a8f.html,若旦那,若旦那・RED,若旦那・RED,"Let's go, Let's go, Let's g ..."
気合いでハリケーン,https://j-lyric.net/artist/a050f83/l023b8d.html,T-Pistonz KMC,山崎徹/KMC,山崎徹/KMC,ha!ha!ha! 波ッ! ha!ha!ha! 波ッ! ...
気合百発!カクレンジャー!!,https://j-lyric.net/artist/a01279d/l023d22.html,樫原伸彦,横山武,樫原伸彦,平和を守るために 遥かな旅は続く危険な嵐の中 おそ ...
樹愛羅、助けに来たぞ,https://j-lyric.net/artist/a04cdfa/l0465aa.html,=LOVE,指原莉乃,前山田健一,負けても　戦え！　立つんだ！樹愛羅ちゃん国 ...
キアオラ・グラシャス・ありがと,https://j-lyric.net/artist/a04d43f/l025dd4.html,Buono!,三浦徳子,八木雄一,勇気! 元気! やる気! 百倍!キアオラ グラ ...
気圧の所為,https://j-lyric.net/artist/a05ccf6/l050a90.html,島爺,島爺,島爺,あと何度謝ればおもろないのを笑えば行けるのだろ ...
黄色い船,https://j-lyric.net/artist/a0009d5/l02ba4a.html,岡崎友紀,橋本淳,筒美京平,黄色い船で 海へ出たい彼と二人波にゆられ ギターを ...
紀伊国音頭,https://j-lyric.net/artist/a063754/l05c68b.html,原田波人,つんく,つんく,和歌山　紀伊の国わーいわい行きましょうあなたと ...
くいしんぼ天国,https://j-lyric.net/artist/a002020/l008fbe.html,岸谷香,奥居香,奥居香,「おいしいね」って言葉は幸せ運んでくるどんなキツい ...
紀伊水道,https://j-lyric.net/artist/a0005fc/l002484.html,島津悦子,木下龍太郎,花笠薫,結城つむぎの 袖振るたびに匂い袋の 鈴が泣く船 ...
キースの胸で眠りたい,https://j-lyric.net/artist/a006b8f/l017e70.html,川村かおり,木嶋,木嶋,クラスメイトはまるでつき合いきれないってそんな ...
キイチゴ,https://j-lyric.net/artist/a0039c3/l00fdd0.html,大黒摩季,大黒摩季,大黒摩季,君には遠い所に住んでる彼女がいて私には近くにいても ...
