index,title,artist,songwriter,composer,url,preview
あ,あ lot of,MINA,MINA,MINA,https://j-lyric.net/artist/a030ff6/l0611b3.html,今日もあなたがあなたであれば基本的なのにな...
あ,あ1,なみちえ,なみちえ,なみちえ,https://j-lyric.net/artist/a0612ba/l04fc3b.html,気にしない5遠くまで5心から5(ファイブ)...
あ,あぁ故郷よ,福島はじめ,万城たかし,岡千秋,https://j-lyric.net/artist/a05f155/l063cc3.html,あの山あの川　茜空俺のふる里　晩秋しぐれじっち ...
あ,ああ 最上川,前川兄弟,浅沼久夫,木村一郎,https://j-lyric.net/artist/a06722f/l062b2f.html,紅花溶(べにばなと)かしの　夕陽の向こう俺の育った ...
あ,あいあん■はあと■ぷろぽーず,筒隠つくし(田村ゆかり),大森祥子,多ヶ谷樹,https://j-lyric.net/artist/a057f1f/l02e14e.html,果たし状なら もう百通も 書いては破って書き直して そ ...
あ,"あいかわらずですか feat.デリカテッセン,BEAT★NATURE,ヒデナルド ヒップホッパパ",ナイス橋本,ナイス橋本/Hyoutan,ナイス橋本/エンジョイ村カワ,https://j-lyric.net/artist/a04c5bb/l00e588.html,あいかわらずですかオレ達はあいかわらずですが ...
あ,あいくらふと TVsize,キミのね,つむぎしゃち,久下真音,https://j-lyric.net/artist/a064eeb/l063fca.html,愛？いらない知らない聞いたことないでもこころこぼれ ...
あ,あいすべき生活,ズクナシ,ズクナシ,ズクナシ,https://j-lyric.net/artist/a04f125/l0138fe.html,今日もうたう 赤いめざまし3度たたかれ 泣きべそを ...
あ,あいつは◯ねたらしい,N8(neito§),N8(neito§),N8(neito§),https://j-lyric.net/artist/a067fb8/l065496.html,さらばこの世界　やっぱり生きたい(君のために生きる ...
あ,あいにきてI・NEED・YOU!,Mi,森若香織,森若香織,https://j-lyric.net/artist/a04c101/l00e1a7.html,あいにきて I NEED YOU あいにきて I  ...
あ,あいの国,間々田優,間々田優,間々田優,https://j-lyric.net/artist/a04f1ac/l065568.html,神様なんかいらない　こんな世界で生き延びるためなら...
あ,あいまいな感情,チャットモンチー,高橋久美子,橋本絵莉子,https://j-lyric.net/artist/a04c8fe/l015f3a.html,※小さくなったブランコに乗っておもいっきり漕いでみ ...
あ,あえて荒野をゆく君へ,怒髪天,増子直純,上原子友康,https://j-lyric.net/artist/a032a5d/l0323db.html,サビだらけヘコんだ ガードレールの上手を広げフラフ ...
あ,あかね,ザ★ボン,りえ,りえ,https://j-lyric.net/artist/a04d49c/l00c424.html,小さい秋が連れて来た 笑い過ごしたあの頃今はも ...
あ,あかはなのトナカイ,林原めぐみ,MARKS,MARKS,https://j-lyric.net/artist/a000fb1/l01aa36.html,まっかな　おはなの　トナカイさんはいつも　みんなの ...
あ,あかるい秘密結社,ポップしなないで,かわむら,ポップしなないで,https://j-lyric.net/artist/a060105/l063e2a.html,あーしょうがない愛想笑いこの世の果てみたいな空 ...
あ,あきの日,パスピエ,大胡田なつき,成田ハネダ,https://j-lyric.net/artist/a055cff/l033b3c.html,PM4:00だった あのころあたしは中学生だったなぁ ...
あ,あくま de FAKE,メロン記念日,イイジマ,イイジマ,https://j-lyric.net/artist/a000c94/l00bd6d.html,壊れるほどに抱きしめてよ すべてがFAKEでもかまわな ...
あ,あこがれ feat. Myuk,MIMiNARI,MIMiNARI,MIMiNARI,https://j-lyric.net/artist/a0641c9/l062f36.html,時代と逆行中矛盾と見せ掛けの多様性見透かすよう ...
あ,あこがれの北新地,有山じゅんじと上田正樹,上田正樹,上田正樹,https://j-lyric.net/artist/a04ebc1/l0137e6.html,わいはいっぺんここで 酒を飲みたかったんやしんどい ...
あ,あざとくて何が悪いんですか?,みゆはん,みゆはん,みゆはん,https://j-lyric.net/artist/a05c51e/l05f579.html,バニラがふんわり香るクリームひと塗りと巷で流行りの ...
あ,あしたの君へ,イルカ,イルカ,イルカ,https://j-lyric.net/artist/a0004ff/l020c70.html,手を出してごらん すてきな物をあげよう小さな種が眠 ...
あ,あしたは天晴れ!,スピラ・スピカ,ぼっちぼろまる,ぼっちぼろまる,https://j-lyric.net/artist/a05e4d5/l065838.html,あしたは天晴れ！(天晴れ！天晴れ！)朝 ...
あ,あした地震がおこったら,アーバンギャルド,松永天馬,松永天馬,https://j-lyric.net/artist/a055612/l02d3e4.html,あした地震がおこったらあなたに会いに行けるかな...
あ,あした来る日,花澤香菜,新居昭乃,はまたけし,https://j-lyric.net/artist/a0539f5/l01feec.html,春に咲く花夏　広がる空よ心の中に刻まれてき ...
あ,あじき路地,南壽あさ子,南壽あさ子,南壽あさ子,https://j-lyric.net/artist/a0581ea/l064e30.html,旅立ちを決めた　あの路地には青春の言い訳が　いまで ...
あ,あたしを選ばなかった君へ,コレサワ,コレサワ,コレサワ,https://j-lyric.net/artist/a05acb3/l063a4a.html,あたしを選ばなかった君へ申し訳ないけどしばらく幸せ ...
あ,あたらしいみち feat.土岐麻子,宮川弾アンサンブル,宮川弾,宮川弾,https://j-lyric.net/artist/a04f78b/l014f63.html,例えば青い星裏切る甘い香りの実期限切れ 愛のう ...
あ,あたらしい友だち,キリンジ,堀込高樹,キリンジ,https://j-lyric.net/artist/a001d21/l02c5f6.html,あたらしい鞄とあたらしい靴であたらしい友だち ...
あ,あたらしい旅,YONA YONA WEEKENDERS,磯野くん,磯野くん,https://j-lyric.net/artist/a0620dc/l0636b0.html,かたちは変わってゆくの気紛れな　もくもくの雲のよう ...
