index,title,artist,songwriter,composer,url,preview
え,えれくとりっく・えんじぇぅ covered by ワク,Imgramox Music,ヤスオP,ヤスオP,https://j-lyric.net/artist/a067606/l0659fc.html,ワタシは、歌うのがスキワタシがそう作られたからじゃ ...
え,え～愛な関係,a&k,恭子,大村友希,https://j-lyric.net/artist/a04b233/l062ab0.html,知ってるんでしょう？　何もかもわかってるんでしょう ...
え,えらい!あんたが大将,海援隊,武田,中牟田,https://j-lyric.net/artist/a0016d9/l017dfb.html,黙っていればいいものを 酒の席とはいいながらはじま ...
え,絵,8otto,マエノソノマサキ,マエノソノ・マサキ・TORA,https://j-lyric.net/artist/a04ceb6/l00b795.html,道に迷って信じるままに言う君に会って吐く程飲み ...
え,絵,真心ブラザーズ 奥田民生,YO-KING/桜井秀俊/奥田民生,YO-KING/桜井秀俊/奥田民生,https://j-lyric.net/artist/a05530c/l02517c.html,あの4階の東南角の陽当たりのいい 小部屋の窓から ...
え,絵,地球三兄弟,地球三兄弟,地球三兄弟,https://j-lyric.net/artist/a05703e/l02b559.html,あの4階の東南角の陽当たりのいい 小部屋の窓から ...
え,え?あぁ、そう。,蝶々P feat.初音ミク,papiyon,papiyon,https://j-lyric.net/artist/a054c41/l023c70.html,建前だけの感情論で全てを量ろうなんてそんなのはお門 ...
え,え?あぁ、そう。,蝶々P feat.MAYU,papiyon,papiyon,https://j-lyric.net/artist/a059f8a/l035d54.html,建前だけの感情論で全てを量ろうなんてそんなのはお門 ...
え,え?あぁ、そう。,Luz,papiyon,papiyon,https://j-lyric.net/artist/a0537bb/l037d6c.html,建前だけの感情論で全てを量ろうなんてそんなのはお門 ...
え,え?あぁ、そう。,宮下遊,papiyon,papiyon,https://j-lyric.net/artist/a05b8fd/l03b8f1.html,建前だけの感情論で全てを量ろうなんてそんなのはお門 ...
え,え?あぁ、そう。,KANAKO,蝶々P,蝶々P,https://j-lyric.net/artist/a04c19f/l03bc68.html,建前だけの感情論で全てを量ろうなんてそんなのはお門 ...
え,え?あぁ、そう。,Vivid BAD SQUAD,蝶々P,蝶々P,https://j-lyric.net/artist/a062b9c/l065811.html,建前だけの感情論で全てを量ろうなんてそんなのはお門 ...
え,エアーポケット,中谷美紀,中谷美紀,坂本龍一,https://j-lyric.net/artist/a000cf8/l000cf3.html,もっと聴きたくてその声だけ罪な若さでも本当の愛だか ...
え,エアギターガール,BURNOUT SYNDROMES,熊谷和海,熊谷和海,https://j-lyric.net/artist/a05b0f3/l039c14.html,公園ベンチに乗って掻き鳴らすエア・ギター散々雨 ...
え,エアコン・キングダム,Hermann H. & The Pacemakers,平床政治,岡本洋平,https://j-lyric.net/artist/a046d61/l02c29b.html,"wake up in the morning, mak ..."
え,エアコンのリモコン,つしまみれ,まり,つしまみれ,https://j-lyric.net/artist/a050758/l018ce6.html,エアーコントロール リモートコントロール揺れる ...
え,エアシューター,田村ゆかり,MARHY,MARHY,https://j-lyric.net/artist/a000fbd/l0101ae.html,晴れ渡る空の午後抜け出してしまいそうここから見 ...
え,エアバルーン,サニーデイ・サービス,曽我部恵一,曽我部恵一,https://j-lyric.net/artist/a009851/l03dbc7.html,みんなみんな はしゃぎすぎてるみたいみんなみんな  ...
え,エアフオルクテイル,Gero,ツミキ,ツミキ,https://j-lyric.net/artist/a057d5a/l0518c1.html,目的地、何方。本日も、迷図上は混沌としている。...
え,エアプレイン,アイドルネッサンス,小西康陽,小西康陽,https://j-lyric.net/artist/a05a06f/l035fe9.html,子供みたいな話し方で子供みたいな歩き方で爪を噛 ...
え,エアプレイン,PIZZICATO FIVE,小西康陽,小西康陽,https://j-lyric.net/artist/a001c11/l04e473.html,子供みたいな話し方で子供みたいな歩き方で爪を噛 ...
え,エアボーイズ,少年ハリウッド(風見颯(逢坂良太)/甘木生馬(柿原徹也)/佐伯希星(山下大輝)/富井大樹(蒼井翔太)/舞山春(小野賢章)),橋口いくよ,林哲司,https://j-lyric.net/artist/a0590ef/l037e73.html,飛びたいんだ 空 高く高くあなたの側に行きたい...
え,エアボーイズ,ZEN THE HOLLYWOOD,橋口いくよ,佐伯高志,https://j-lyric.net/artist/a059977/l0356cc.html,飛びたいんだ　空　高く高くあなたの側に行きたい...
え,エアポケット,TRIPLANE,江畑兵衛,江畑兵衛,https://j-lyric.net/artist/a04ab2b/l00c356.html,まるで絵に描いたような青空に架かった虹に手を伸ばす ...
え,エアポート,HALLCA,HALLCA,HALLCA,https://j-lyric.net/artist/a06279f/l0627dc.html,待ちわびた季節は私を置いてbloomingまだ ...
え,エアポートで待ち合わせ,BoA,Junji,Kevin,https://j-lyric.net/artist/a000625/l033e1f.html,ギリギリセーフな日々どうにかなってるようで恋愛 ...
え,エアリアルエイリアン,UNISON SQUARE GARDEN,田淵智也,田淵智也,https://j-lyric.net/artist/a04e406/l03b33b.html,宇宙遊泳はミステリアス　知的生命、来る地球侵略目論 ...
え,エアロビクス☆ガール,CUNE,小林亮三,小林亮三,https://j-lyric.net/artist/a04a728/l011ec4.html,"エアロビクスガール エアロビクスガール1,2,3, ..."
え,エアープリズム,増田俊樹,希瀬,黒須克彦,https://j-lyric.net/artist/a05fa95/l04ef6a.html,影に躓いた 憂鬱で灰色の溜息自分を許せずに がんじ ...
え,エアーマンが倒せない,TEAMねこかん[猫],seramikarutitan・たかにそ,seramikarutitan,https://j-lyric.net/artist/a050048/l01678f.html,気がついたら同じ面ばかりプレイそしていつも同じ場所 ...
え,エアーマンが倒せない 天乙准花Ver.,Team.ねこかん[猫] featuring 天乙准花,せら/たかにそ,せら,https://j-lyric.net/artist/a0547ee/l022fde.html,気がついたら おなじ めんばかりプレイそしていつも ...
え,"エアーマンが倒せない""3D""",Team.ねこかん[猫],せら/たかにそ,せら,https://j-lyric.net/artist/a050048/l02f205.html,気がついたら おなじ めんばかりプレイそしていつも ...
え,エイエイオー,コザック前田,コザック前田・山本聡,コザック前田・山本聡,https://j-lyric.net/artist/a04ab58/l056195.html,泣けない言葉にかぶさる心は日がな夜がなに暮れました ...
え,永遠が続くのは,Karin.,Karin.,Karin.,https://j-lyric.net/artist/a04be34/l058b88.html,「大人になったね」って君が言うからそっと片手を君の ...
え,エイエイプ～!～SUPER MONKEY BALL～,あびる優,超,庄司,https://j-lyric.net/artist/a0036d9/l004fbf.html,きょうのおてんきは バナナのちはれあすのおてんきは ...
え,えいえん,ニアフレンズ,池田篤,池田篤,https://j-lyric.net/artist/a064e01/l05be08.html,くだらないことばっかり言ってごめんね今日も君には嫌 ...
え,永炎,阪本奨悟,阪本奨悟,阪本奨悟,https://j-lyric.net/artist/a05b737/l04dd1f.html,夢を語り合う制服の少年二人眩しい笑顔が僕の瞳に映る ...
え,永遠,LA'CRYMACHRISTI,TAKA,KOJI,https://j-lyric.net/artist/a0096c7/l000893.html,風が吹く 夜の海君の手を引いていたよ夢で見 ...
え,永遠,L'Arc～en～Ciel,HYDE,HYDE,https://j-lyric.net/artist/a000723/l00259d.html,波がよせては返す この足下に遠く月とはしゃぐ君の小 ...
え,永遠,田原俊彦,園田利隆,河辺,https://j-lyric.net/artist/a003b2b/l002dad.html,風の中海の香り懐かしく運んでくる命への源へと  ...
え,永遠,See-Saw,石川千亜紀,西岡,https://j-lyric.net/artist/a00644b/l00346c.html,見えないの… 見つからないの…二人キスをかさねても ...
え,永遠,ZARD,坂井泉水,徳永暁人,https://j-lyric.net/artist/a0009c5/l0073d3.html,朱い果実を見たら私のことを思い出してくださいあ ...
え,永遠,LiSA,LISA,LISA,https://j-lyric.net/artist/a001c00/l009ca7.html,この手を離さずに 永遠に惑星滅びても 呼吸してる ...
え,永遠,EXILE,ATSUSHI,H-WONDER,https://j-lyric.net/artist/a000607/l009e9f.html,君と出会って もうどれくらいたつのだろういつの日に ...
え,永遠,パク・ヨンハ,松井五郎,松本俊明,https://j-lyric.net/artist/a001d0a/l00e376.html,いまでも逢いたくて　悲しみを抱きしめてるけどふたり ...
え,永遠,くるり,岸田,くるり,https://j-lyric.net/artist/a000786/l00fae3.html,永遠はNothing永遠はNothing問 ...
え,永遠,田村ゆかり,太田,太田,https://j-lyric.net/artist/a000fbd/l0101a4.html,凍えそうな夜の中　失って消えてゆく体中が震えていた ...
え,永遠,小柳ゆき,小柳ゆき,小倉良,https://j-lyric.net/artist/a0000ae/l010caf.html,あなたが残した kiss の感覚 ずっと覚えてる一 ...
え,永遠,KAN,KAN,KAN,https://j-lyric.net/artist/a001ce0/l011191.html,もしぼくが君と出会わなかったらぼくたちはどんな二人 ...
え,永遠,Do As Infinity,D・A・I,D・A・I,https://j-lyric.net/artist/a0007b6/l013c92.html,永遠なんて期待はずれあなたは笑顔が よく似合う人 ...
え,永遠,BoA,Narumi,Daisuke“D.I,https://j-lyric.net/artist/a000625/l015642.html,私の指はきっと君の頬にそっと触れるためだけにあって ...
え,永遠,玉手ゆういち,玉手ゆういち,玉手ゆういち,https://j-lyric.net/artist/a04d57a/l0156da.html,ふいに胸をよぎった思い出のあの曲はかさぶたにも ...
え,永遠,木山裕策,多胡邦夫,多胡邦夫,https://j-lyric.net/artist/a04d6ce/l01590d.html,泣いてないと君は言う その答えが震えている僕は何も ...
え,永遠,ソフィア (CV:豊口めぐみ),斉藤,DAICE,https://j-lyric.net/artist/a0501c4/l016a57.html,無残に取り残された 亡骸に手向けられる 花の色...
え,永遠,つるの剛士,KAN,KAN,https://j-lyric.net/artist/a050460/l017230.html,もしぼくが君と出会わなかったらぼくたちはどんな二人 ...
え,永遠,SKELT 8 BAMBINO,MA☆MEN/GOGH/NIPPON/TAK-E/BJ,MA☆MEN/GOGH/NIPPON/TAK-E/BJ,https://j-lyric.net/artist/a04e15a/l018451.html,君のすぐそばで いつまでも愛を唄おう今 世界中 ...
え,永遠,石野田奈津代,石野田奈津代,石野田奈津代,https://j-lyric.net/artist/a04d661/l01b2cc.html,次の駅で降りれば　もうあなたに会えないね何年経って ...
え,永遠,シェリル・ノーム starring May'n,Gabriela,菅野よう子,https://j-lyric.net/artist/a04dd1f/l01d252.html,絶望の淵に身を躍らせまだ生きてること 怪しむとき ...
え,永遠,MAY'S,片桐舞子,NAUGHTY,https://j-lyric.net/artist/a04f70a/l01dc8d.html,掌に愛があるのなら　片方はあなたに全部あげるだから ...
