index,title,artist,songwriter,composer,url,preview
お,おいでよ!石川大観光,蓮ノ空女学院スクールアイドルクラブ,新谷風太,白戸佑輔(Dream,https://j-lyric.net/artist/a065110/l0640f6.html,みなさん、石川の良いところを見つけてきましたか？は ...
お,おいでよFUNKの森,ファンクザウルス,スガシカオ,ファンクザウルス,https://j-lyric.net/artist/a067a4e/l06457a.html,病める時も　健やかなる日もFUNKを愛すること　君 ...
お,おい親父ちょっと話がある,大田クルー,大田クルー,"大田クルー・内田""ucchy""悟",https://j-lyric.net/artist/a039080/l00dd11.html,腹をたてりゃ 怒鳴りまくる 酒臭い上に 小言も長い...
お,おお、我が新天地,Maria Seiren,植村文明・伊語訳詞:Francesca,Antonin,https://j-lyric.net/artist/a067d98/l064e65.html,La terra del nord e la nuov ...
お,おおきに feat.LIFESTYLE,寿君,寿君,寿君・LIFE,https://j-lyric.net/artist/a05a0c8/l062c9b.html,大阪到着まいど遊び慣れた街の夜風を感じながらP ...
お,おおらい節,山内惠介,いしわたり淳治,水森英夫,https://j-lyric.net/artist/a0010ef/l063a0b.html,びいおおらい　びいおおらい今日も世界は　その背中 ...
お,おかえり(Re-Recording 2025),野田愛実,野田愛実,野田愛実,https://j-lyric.net/artist/a05d844/l065509.html,「頑張りすぎないで　いつでも帰っておいで」そんな風 ...
お,おかえりなさい～富戸Song,Temiyan,Kenco・Temiyan,Temiyan,https://j-lyric.net/artist/a01131f/l01f198.html,Home Town of My Heart　Home  ...
お,おきな草,Cry&Feel it,SAN,園畑貴之,https://j-lyric.net/artist/a053281/l01e67b.html,降りしきる雨の中 傘もささずアパート飛び出した行く ...
お,おくり火,the GazettE,流鬼.,大日本異端芸者の皆様,https://j-lyric.net/artist/a02e166/l00f0c1.html,昨日まではあんなに　明るく笑ってたのに元気だよって ...
お,おさな心,中田裕二,中田裕二,中田裕二,https://j-lyric.net/artist/a04b6be/l052989.html,海岸を列車が行く潮騒とレールの音立ち止まり　し ...
お,おしゃれな季節,ずうとるび,加納あき,クニ河内,https://j-lyric.net/artist/a04ae45/l0286e0.html,夏をはさんで五月と九月は にてるけど出会いの  ...
お,おしゃれに隠したありがとう,BLUES DRIVER,メガテラ・ゼロ,BLUES,https://j-lyric.net/artist/a0615e9/l05087e.html,素直に言うのは恥ずかしいから今まではおしゃれな ...
お,おしりかじり虫,おしりかじり虫,うるまでるび,うるまでるび,https://j-lyric.net/artist/a04d24e/l00b293.html,おしりかじり虫おしりかじり虫かじって かじ ...
お,おしりフリフリ体操,P&ART SASANOOOHA,P&ART,P&ART,https://j-lyric.net/artist/a04e1a8/l00e3b1.html,お金 お金 お金…おやつ おやつ おやつ…...
お,おそ松さんのボンバシェー!,DA PUMP,m.c.A・T,Tarcsi,https://j-lyric.net/artist/a0006a5/l065204.html,ボンバ！ボンバ！シェー！　ボンバ！ボンバ！シェー！...
お,おたくgirlsの宴,lecca,lecca,lecca,https://j-lyric.net/artist/a04d1f0/l00b123.html,他の子にはできないことをやるなら他の何か 犠牲にす ...
お,おたくの犬が騒がしい,東京初期衝動,しーな,しーな,https://j-lyric.net/artist/a060a05/l06329f.html,そっとギュッとされて離れたアンタのことを忘れません ...
お,おっさんのダンスが変だっていいじゃないか!,ウルフルズ,トータス松本,トータス松本,https://j-lyric.net/artist/a0006e9/l064e15.html,頑張れば踏ん張ってやればがむしゃら　体張ってぶ ...
お,おとぎの国のALICE,後藤沙緒里,さくら,良原リエ,https://j-lyric.net/artist/a04fb21/l015ae6.html,袖なしのワンピースミュールあわせて鏡の前立って ...
お,おとぎ話の主人公,こはならむ,こはならむ,こはならむ,https://j-lyric.net/artist/a06300f/l064e09.html,あなたの中のおとぎ話の主人公になりたいわ一緒に観た ...
お,おとこのなみだ酒,かずき山盛り,イサム,イサム,https://j-lyric.net/artist/a06416d/l063127.html,想い出すのは　雪景色ただあんたに　あんたに　逢いた ...
