index,title,artist,songwriter,composer,url,preview
い,いい子じゃいられNight,稲場愛香,zopp,大島こうすけ,https://j-lyric.net/artist/a066612/l0638d7.html,あるがままでいーじゃんLet's party al ...
い,いい日 旅立ち -Tribute Version-,I WiSH,谷村新司,谷村新司,https://j-lyric.net/artist/a000e07/l00ca8c.html,雪解け真近の北の空に向かい過ぎ去りし日々の夢を ...
い,いい湯だな 2025 imase×mabanua MIX,imase,永六輔,いずみたく,https://j-lyric.net/artist/a063583/l064ce3.html,ババンバ　バンバンバン　ババンバ　バンバンバンパイア ...
い,いくぜ!ポジティブ議長,いくぜ!,じーざす,じーざす,https://j-lyric.net/artist/a06762a/l06378e.html,ゼツボー？なんそれおいしいの？パーン！なってドーン ...
い,いけ!いけ!GO!GO!,長渕剛,長渕剛,長渕剛,https://j-lyric.net/artist/a000675/l00a78e.html,とんでもなく淋しい 言葉を投げられちまった一人車で ...
い,いざゆきな w/Home Grown,PAPA B,H.TAKAGI,H.Takagi/Home,https://j-lyric.net/artist/a01c417/l00ec65.html,楽しい話語ろう 暗い話ならもうあまり話したかな ...
い,いじわる Crazy love,THE ポッシボー,つんく,つんく,https://j-lyric.net/artist/a04d480/l00e52a.html,触んないでよなんなのあなたわかんないのよ最 ...
い,いたずら白書,Lyrical Lily,中村航,エガワヒロシ,https://j-lyric.net/artist/a06183f/l06350a.html,幸せは回り巡るから――白書が示すところこの ...
い,いちばん やさしい風,高杉さと美,古内東子,古内東子,https://j-lyric.net/artist/a04cfb1/l00c6be.html,逢いたくて　涙あふれるほど人を好きになった事あるで ...
い,いちばん好きな人,ワカバ,ワカバ,ワカバ,https://j-lyric.net/artist/a04aab9/l025113.html,どこに置いてきたのか わからないどこであきらめたの ...
い,いちばん星☆,YAK.,YAK.,あさみ,https://j-lyric.net/artist/a04d762/l00ea42.html,月が見えたね 時間が止まってから今日は何度目の ...
い,いっそ、嫌いになれたら。 / Ryohei Abe,Snow Man,KOBASOLO,KOBASOLO,https://j-lyric.net/artist/a060fd0/l0634f0.html,言葉にならないよきみを前にしちゃもう込み上げて ...
い,いつか(It Will Come) with Vish,加賀美セイラ,Seira,JURI,https://j-lyric.net/artist/a04d4da/l017076.html,I am not the right one for  ...
い,いつか…信じて,松村香澄,SHO,中田雅敏,https://j-lyric.net/artist/a04dffe/l00de1f.html,赤い海　黒い空　張り裂けた心くじけそうな戦いは ...
い,いつか、薄紅の空の下で,千寿暦(鳥部万里子),松井洋平,友清貴之,https://j-lyric.net/artist/a066002/l064a7d.html,いつしか胸に芽吹き始めていた気持ちはどんな花だろう ...
い,いつかのLady,風味堂,渡和久,渡和久,https://j-lyric.net/artist/a04abba/l00b5ce.html,I wanna forget you…I can' ...
い,いつかのSummer,嵐,ERYKAH,TSUKASA,https://j-lyric.net/artist/a000eac/l00a039.html,(歌:相葉雅紀)太陽の下で真夏のバケーション ...
い,いつかのSunday,カコイミク,カコイミク,stand,https://j-lyric.net/artist/a04cff9/l00aa0e.html,その背中に 触れるたびに確かになる わたしを感じて ...
い,いつかの最高。,TAK-Z,TAK-Z,TAK-Z・S-NA,https://j-lyric.net/artist/a0517bd/l0637fb.html,扉を開ければ　そこは隠れ家“おかえり”っていつもの ...
い,いつかの浜辺で,mach25,"PASSER,HUNTER",YUICHI,https://j-lyric.net/artist/a04ac21/l012683.html,(PASSER)君の笑顔は素敵だったよあの雲のよう ...
い,いつか会えたら,椎名へきる&GONTITI,GONTITI,GONTITI,https://j-lyric.net/artist/a04e05d/l00df5c.html,夢は遠くはるかな島で二人だけで歩く砂浜素足 ...
い,いつか何処かで ～I FEEL THE ECHO～,桑田佳祐,桑田佳祐,桑田佳祐,https://j-lyric.net/artist/a005366/l00665e.html,今も忘れない 夢の別れ道通り過ぎてく 女性に焦がれ ...
い,いつか夢で,"すずきまゆみ, 立花敏弘",Sammy,Sammy,https://j-lyric.net/artist/a052062/l01b824.html,あなたをいつも夢に見てその瞳さえとてもなつかしい ...
い,いつか天使になって あるいは青い鳥になって アダムとイブになって ありえないなら,三月のパンタシア,buzzG,buzzG,https://j-lyric.net/artist/a05b552/l04cfc4.html,赤い果実をつけた感情論が急に汗ばむ背中を押すけど禁 ...
い,いつか家族になって,辰巳ゆうと,売野雅勇,幸耕平,https://j-lyric.net/artist/a05de0e/l0646e0.html,悲しい恋はもうやめなよ　見てられないよ　君が泣くのを ...
い,いつか碧,五桐玲(宮野芹) from いきづらい部!,公野櫻子,矢吹香那,https://j-lyric.net/artist/a06810f/l065809.html,吸い込む草の匂いが　みどり色に光る脱ぎ捨てたユニフ ...
い,"いつか見る虹～""モルダウ""から～",イルカ,イルカ,イルカ,https://j-lyric.net/artist/a0004ff/l00db24.html,愛する者のいる事は 幸せな事と思うけれど出逢い ...
い,いつだってLove&Dream,神田朱未,横山武,大久保薫,https://j-lyric.net/artist/a04cb05/l00ad7a.html,青空の中へ飛び出してゆく悩んでいるヒマなん ...
い,いつでも答えはYESなのよ!,甲斐智枝美,康,森,https://j-lyric.net/artist/a0526ae/l01c908.html,いつでも答えはYESなのよ!春にほころぶ　つぼ ...
い,いつの日か,井上喜久子,井上喜久子,井上喜久子,https://j-lyric.net/artist/a000f0b/l020044.html,てぶくろ　くつ下　イヤリングふたつでひとつのものた ...
い,いつの日か、生活の一部になった。,まつり,まつり,まつり,https://j-lyric.net/artist/a061696/l0634c5.html,飾り気のない言葉と飾り気のないこの部屋で飾り気 ...
い,いつの日にか悔めばいい,SHOW-WA,秋元康,谷村庸平,https://j-lyric.net/artist/a066d94/l064de9.html,"wow wow wow, wow wow wow, w ..."
い,いつの日も君だけI Remember you,上木彩矢,上木彩矢,岩井勇一郎,https://j-lyric.net/artist/a04c4c1/l00eb42.html,信号が青になって 歩き出す人の群れに5秒遅れて ...
い,いつまでも Love Song,堀内孝雄,荒木とよひさ,堀内孝雄,https://j-lyric.net/artist/a00049b/l00d2c1.html,いつまでも love song for you　君は君 ...
い,いつまでも。feat.AZU,カルテット,KARUTETTO・AZU,KARUTETTO・AZU,https://j-lyric.net/artist/a04cc78/l00e223.html,For you...I will always lov ...
い,いつも IT'S MORE,TERIYAKI BOYZ,ILMARI・RYO-Z・VERBAL・WISE・MIKE,ILMARI・RYO-Z・VERBAL・WISE・MIKE,https://j-lyric.net/artist/a04d676/l015893.html,さりげなくLoveを伝える何気な日常的気遣い...
い,いつもここColor,KEY GOT CREW,繁原健一郎・前田憲治,繁原健一郎・前田憲治,https://j-lyric.net/artist/a04d228/l00b214.html,いつもこうして君の隣へ今もこうして思いは君へい ...
い,いつもの坂道,原田知世,原田郁子,伊藤ゴロー,https://j-lyric.net/artist/a000d72/l0654e1.html,いつもの坂道　一歩一歩　くだる「おはよう」　交わす ...
い,いつもの帰り道,グッドモーニングアメリカ,金廣真悟,金廣真悟,https://j-lyric.net/artist/a057922/l03331a.html,嗚呼風が吹き香る何処かん家のカレー微笑 ...
い,いつも春,リュ・シウォン,Yu,Lynne,https://j-lyric.net/artist/a001c8a/l062ba6.html,目を閉じれば浮かんでくる　君の声と笑顔この気持ちは ...
い,いつも隣で,FANTASTICS,YUUKI,Kyosuke,https://j-lyric.net/artist/a064dd0/l065719.html,もしも君がひとりで泣いて悩む時にはそっと僕の名 ...
い,いとしいひとへ～Merry Christmas～,大黒摩季,大黒摩季,大黒摩季,https://j-lyric.net/artist/a0039c3/l0094fa.html,みんな急いでどこへ行くのだろう煌めく師走のSque ...
い,いとしさの中で feat.Sugar Soul&ZEEBRA,DJ HASEBE,sugar,SUGAR,https://j-lyric.net/artist/a00847f/l00ab03.html,ひさしぶりだね sweetie元気そうじゃん ちょ ...
い,いとをかしMyType,花冷え。,Yukina・Matsuri,Matsuri・Yukina,https://j-lyric.net/artist/a06441d/l062e5d.html,四六時中インターネット内緒よ？心の中知りたいな ...
い,いと嬉し,北沢麻衣,北沢麻衣,杉本眞人,https://j-lyric.net/artist/a05794a/l063a05.html,恋に恋する　年頃はとうの昔に　終わったけれど愛 ...
い,いのちの砂時計,未成年,伊津美敬,伊津美敬,https://j-lyric.net/artist/a06746e/l063205.html,お袋が死んだ日　夢かと錯覚するほど　泣き狂ったよな...
い,いのちの音,夏川りみ,村野直球,熊谷幸子,https://j-lyric.net/artist/a000560/l00e0ee.html,花は咲くだけ　風に揺れて愛されたいと　思いもせず ...
い,いのち燦々,大沢桃子,仲村つばき,仲村つばき,https://j-lyric.net/artist/a04300a/l0654e5.html,花は風に　揺れながらあなた恋しと　詩(うた)ってる ...
い,いのり feat.SAKURA,Def Tech,Def,Def,https://j-lyric.net/artist/a01b0ab/l00967f.html,それはまるでよせては返すさざ波のよう人は生まれて老 ...
い,いばらの海,女王蜂,薔薇園アヴ,薔薇園アヴ,https://j-lyric.net/artist/a055895/l0646cf.html,嘘をついた人にも　明日死んでしまう人にもくだらない ...
い,いびつな愛ですが,ちゃくら,ワキタルル,ワキタルル,https://j-lyric.net/artist/a0659de/l064b35.html,周りを見てるとね自分の嫌いなところばかり気づくんだ...
い,いま、嵐の中で,須藤慎吾と椿姫,北門笙,渡辺雄一,https://j-lyric.net/artist/a0676fa/l063a41.html,嵐の夜ひびく　だれか篠笛わたしの心はねむれない...
い,いま、月は満ちる,≒JOY,指原莉乃,島軒瑠,https://j-lyric.net/artist/a0641b0/l065a21.html,いま、夜空に奇跡がキラめく今日は　サプライズを君に ...
い,いまうたうこの歌,矢作萌夏,矢作萌夏,矢作萌夏,https://j-lyric.net/artist/a065601/l0638d2.html,白いカーテンから差し込む月明かり照らされた僕ら　月 ...
い,いまさら 2step,KREVA,-,-,https://j-lyric.net/artist/a00eecd/l0479fb.html,◆step up step upstep up s ...
い,胃,吉澤嘉代子,吉澤嘉代子,吉澤嘉代子,https://j-lyric.net/artist/a057a16/l03983c.html,あなたの胃を弱らせた　わたしのわがままよそでは借り ...
い,イアイア★ナイトオブデザイア,samfree feat.実谷なな,samfree,samfree,https://j-lyric.net/artist/a056273/l028180.html,イアイア★ナイトオブデザイア幾千もの星も 輝き ...
い,いい,NSP,天野滋,天野滋,https://j-lyric.net/artist/a001ff2/l01b098.html,天雲の下がいい　うるさい所がいい雨がザザンカザン　 ...
